"orig_name", "new_name"
"United States of America","USA"
"Hong Kong (Special Administrative Region)","Hong Kong"
"Korea, Republic of","South Korea"
"Viet Nam","Vietnam"
"China, People's Republic of","China"
"Macau (Special Administrative Region)","Macau"
"Congo, the Democratic Republic of the","Congo"
"Destination Unknown - EU","Unknown - EU"
"St Maarten (Dutch Part)","St Maarten (Dutch)"
"Micronesia, Federated States of","Micronesia"
"Virgin Islands, United States","Virgin Islands, USA"
"Former Yugoslav Republic of Macedonia (FYROM)","Macedonia"
"Gaza Strip/Palestine/West Bank","Palestine"
"South Georgia and the South Sandwich Islands","South Georgia"
"United States Minor Outlying Islands","USA Minor Islands"
"British Indian Ocean Territory","British Territories"
"St Vincent and the Grenadines","St Vincent - Grenadines"
"United Arab Emirates","U.A.E"
"Papua New Guinea","P.N.G"
